epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6215,0.02901,0.04526,20.3208,3.54226,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0287024,0.0234976,0.0234976
2,71.4937,0.02898,0.03936,18.0559,3.00543,0.00806,0.10411,0.00321,0.00111,0.00309,0.00822,0.00043,0.00011,nan,nan,nan,nan,0.0276152,0.0276152,0.0276152
3,107.856,0.02907,0.03949,17.6724,2.89092,0.00985,0.09589,0.00363,0.00108,0.00482,0.0411,0.00123,0.00037,nan,nan,nan,nan,0.0265748,0.0265748,0.0265748
4,144.915,0.02875,nan,17.7018,2.89203,0.01164,0.51507,0.02349,0.00708,0,0,0,0,0.02807,nan,22.5737,2.77671,0.0255344,0.0255344,0.0255344
5,182.109,0.02888,nan,17.1762,2.8324,0.01435,0.05479,0.00693,0.00219,0,0,0,0,0.0292,nan,37.1156,2.8568,0.024494,0.024494,0.024494
6,219.713,0.02881,nan,18.2712,2.82578,0.02128,0.02192,0.00419,0.00168,0,0,0,0,0.03028,nan,49.7039,3.33124,0.0234537,0.0234537,0.0234537
7,258.033,0.02951,nan,19.5785,2.85995,0.02374,0.02466,0.00535,0.00159,0,0,0,0,0.0288,nan,29.5794,2.8133,0.0224133,0.0224133,0.0224133
8,297.177,0.02935,nan,19.714,2.84809,0.0224,0.03014,0.00543,0.00158,0,0,0,0,0.02884,nan,27.3186,2.78715,0.0213729,0.0213729,0.0213729
9,337.125,0.02932,nan,19.4064,2.85137,0.0199,0.0274,0.00517,0.00155,0,0,0,0,0.02887,nan,27.4663,2.78763,0.0203325,0.0203325,0.0203325
10,377.005,0.02958,nan,19.607,2.85299,0.01987,0.02466,0.00521,0.00155,0,0,0,0,0.02896,nan,26.9101,2.79778,0.0192921,0.0192921,0.0192921
11,417.248,0.02902,nan,24.4157,2.87616,0.01662,0.0137,0.00369,0.00119,0,0,0,0,0.0296,nan,27.7527,2.87085,0.0182518,0.0182518,0.0182518
12,457.503,0.02879,nan,23.5691,2.85792,0.00951,0.02192,0.00354,0.00113,0,0,0,0,0.02927,nan,25.1566,2.82492,0.0172114,0.0172114,0.0172114
13,497.7,0.02904,nan,23.614,2.88273,0.00582,0.09589,0.00324,0.00106,0,0,0,0,0.02926,nan,24.5353,2.81635,0.016171,0.016171,0.016171
14,538.277,0.02944,nan,23.4814,2.89836,0.00506,0.01918,0.00274,0.00092,0,0,0,0,0.02958,nan,78.8159,2.91509,0.0151306,0.0151306,0.0151306
15,579.007,0.0293,nan,23.7557,2.88477,0.00439,0.2274,0.00292,0.00093,0,0,0,0,0.02919,nan,30.4699,2.81868,0.0140902,0.0140902,0.0140902
16,621.052,0.02898,nan,24.0013,2.87987,0.00423,0.21918,0.00281,0.00089,0,0,0,0,0.02916,nan,29.1071,2.81254,0.0130499,0.0130499,0.0130499
17,662.791,0.02971,nan,24.2086,2.91885,0.00423,0.21918,0.00285,0.00088,0,0,0,0,0.02923,nan,27.819,2.82052,0.0120095,0.0120095,0.0120095
18,704.905,0.02904,nan,24.4246,2.87053,0.00423,0.21918,0.00283,0.00088,0,0,0,0,0.02924,nan,27.7752,2.8105,0.0109691,0.0109691,0.0109691
19,747.97,0.02921,nan,24.1599,2.90575,0.00434,0.22466,0.00294,0.00091,0,0,0,0,0.0292,nan,29.5092,2.82208,0.00992871,0.00992871,0.00992871
20,790.064,0.02948,nan,23.8687,2.90774,0.00439,0.2274,0.00308,0.00092,0,0,0,0,0.02924,nan,28.1491,2.82212,0.00888833,0.00888833,0.00888833
